nlc,(Trip Start)Site,tfl_station_nm,station_nm,train_time_table_station_name
723,SWC,Swiss Cottage,Swiss Cottage,Swiss Cottage
724,TEM,Temple,Temple,Temple
725,THB,Theydon Bois,Theydon Bois,Theydon Bois
726,TBE,Tooting Bec,Tooting Bec,Tooting Bec
727,TBY,Tooting Broadway,Tooting Broadway,Tooting Broadway
728,TCR,Tottenham Court Road,Tottenham Court Road,Tottenham Court Road
729,TTH,Tottenham Hale,Tottenham Hale,Tottenham Hale
730,TOT,Totteridge,Totteridge,Totteridge & Whetstone
731,THL,Tower Hill,Tower Hill,Tower Hill
732,CHX,Charing Cross LU,Charing Cross,Charing Cross
733,TPK,Tufnell Park,Tufnell Park,Tufnell Park
734,TGR,Turnham Green,Turnham Green,Turnham Green
735,TPL,Turnpike Lane,Turnpike Lane,Turnpike Lane
737,UPB,Upminster Bridge,Upminster Bridge,Upminster Bridge
738,UPY,Upney,Upney,Upney
739,UPK,Upton Park,Upton Park,Upton Park
740,UXB,Uxbridge,Uxbridge,Uxbridge 
741,VIC,Victoria LU,Victoria,Victoria
742,WAL,Walthamstow Central,Walthamstow Central,Walthamstow Central
743,WAN,Wanstead,Wanstead,Wanstead
745,WST,Warren Street,Warren Street,Warren Street
746,WAR,Warwick Avenue,Warwick Avenue,Warwick Avenue
747,WLO,Waterloo LU (Bloo/Nthn/W&C),Waterloo,Waterloo
748,WAT,Watford Met,Watford,Watford
751,WEM,Wembley Central,Wembley Central,Wembley Central
752,WPK,Wembley Park,Wembley Park,Wembley Park
753,WAC,West Acton,West Acton,West Acton
754,WBP,Westbourne Park,Westbourne Park,Westbourne Park
755,WBT,West Brompton,West Brompton,West Brompton
756,WFY,West Finchley,West Finchley,West Finchley
757,WHM,West Ham,West Ham,West Ham
758,WHD,West Hampstead LU,West Hampstead,West Hampstead
759,WHR,West Harrow,West Harrow,West Harrow
760,WKN,West Kensington,West Kensington,West Kensington
761,WMS,Westminster,Westminster,Westminster
762,WRP,West Ruislip,West Ruislip,West Ruislip
763,WCL,Whitechapel,Whitechapel,Whitechapel
764,WCT,White City,White City,White City 
765,WLG,Willesden Green,Willesden Green,Willesden Green
768,WMP,Wimbledon Park,Wimbledon Park,Wimbledon Park 
769,WFD,Woodford,Woodford,Woodford
770,WGN,Wood Green,Wood Green,Wood Green
771,WSP,Woodside Park,Woodside Park,Woodside Park
772,KXX,Kings Cross LU (Western),King's Cross St. Pancras,King's Cross
773,HMS,Hammersmith C&H,Hammersmith C&H,Hammersmith (Met)
774,ERB,Edgware Road B,Edgware Road (Bakerloo),Edgware Road (Bloo)
775,SBM,Shepherds Bush Market,Shepherd's Bush Market,Shepherds Bush Market
776,PIM,Pimlico,Pimlico,Pimlico
777,VUX,Vauxhall LU,Vauxhall,Vauxhall
778,BRX,Brixton LU,Brixton,Brixton
779,HTX,Hatton Cross,Hatton Cross,Hatton Cross
780,HRC,Heathrow Terminals 123 LU,Heathrow Terminals 123,Heathrow Terminals 1 2 3
781,HRF,Heathrow Terminal 4 LU,Heathrow Terminal 4,Heathrow Terminal 4
783,HRV,Heathrow Terminal 5 LU,Heathrow Terminal 5,Heathrow Terminal 5
784,SWK,Southwark,Southwark,Southwark
787,BER,Bermondsey,Bermondsey,Bermondsey
788,CWR,Canada Water,Canada Water,Canada Water
789,NGW,North Greenwich,North Greenwich,North Greenwich
796,WLO,Waterloo LU (Jubilee),Waterloo,Waterloo
842,CWF,Canary Wharf DLR,Canary Wharf,Canary Wharf
843,CNT,Canning Town DLR,Canning Town,Canning Town
844,BNK,Bank DLR,Bank,Bank
852,CWF,Canary Wharf LU (E1),Canary Wharf,Canary Wharf
899,NEA,Neasden TC,Neasden,Neasden
1444,EUS,Euston NR,Euston,Euston (incl. NR)
1451,SHP,South Hampstead,South Hampstead,South Hampstead
1452,SAC,South Acton,South Acton,South Acton
1455,WTH,Watford High Street,Watford High Street,Watford High Street
1457,WJN,Willesden Junction,Willesden Junction,Willesden Junction
1475,MYL,Marylebone NR,Marylebone,Marylebone (NR)
1402,WTJ,Watford Junction,Watford Junction,
1395,BSY,Bushey,Bushey,
1442,CPP,Carpenders Park,Carpenders Park,
1398,HAT,Hatch End,Hatch End,
1434,HSL,Headstone Lane,Headstone Lane,
1415,KHR,Kilburn High Road,Kilburn High Road,
7464,UPM,Upminster,Upminster,
5578,WDN,Wimbledon,Wimbledon,
5570,RMD,Richmond,Richmond,
618,OLY,Kensington Olympia,Kensington Olympia,
5569,RAY,Raynes Park,Raynes Park,
